Postcode,Suburb,City,State,State_code
1001,Sydney,Sydney,New South Wales,NSW
1002,Sydney,Sydney,New South Wales,NSW
1003,Sydney,Sydney,New South Wales,NSW
1004,Sydney,Sydney,New South Wales,NSW
1005,Sydney,Sydney,New South Wales,NSW
1006,Sydney,Sydney,New South Wales,NSW
1007,Sydney,Sydney,New South Wales,NSW
1008,Sydney,Sydney,New South Wales,NSW
1009,Sydney,Sydney,New South Wales,NSW
1010,Sydney,Sydney,New South Wales,NSW
1011,Sydney,Sydney,New South Wales,NSW
1020,Sydney,Sydney,New South Wales,NSW
1021,Sydney,Sydney,New South Wales,NSW
1022,Sydney,Sydney,New South Wales,NSW
1023,Sydney,Sydney,New South Wales,NSW
1025,Sydney,Sydney,New South Wales,NSW
1026,Sydney,Sydney,New South Wales,NSW
1027,Sydney,Sydney,New South Wales,NSW
1028,Sydney,Sydney,New South Wales,NSW
1029,Sydney,Sydney,New South Wales,NSW
1030,Sydney,Sydney,New South Wales,NSW
1031,Sydney,Sydney,New South Wales,NSW
1033,Sydney,Sydney,New South Wales,NSW
1034,Sydney,Sydney,New South Wales,NSW
1035,Sydney,Sydney,New South Wales,NSW
1036,Sydney,Sydney,New South Wales,NSW
1037,Sydney,Sydney,New South Wales,NSW
1038,Sydney,Sydney,New South Wales,NSW
1039,Sydney,Sydney,New South Wales,NSW
1040,Sydney,Sydney,New South Wales,NSW
1041,Sydney,Sydney,New South Wales,NSW
1042,Sydney,Sydney,New South Wales,NSW
1043,Sydney,Sydney,New South Wales,NSW
1044,Sydney,Sydney,New South Wales,NSW
1045,Sydney,Sydney,New South Wales,NSW
1046,Sydney,Sydney,New South Wales,NSW
1100,Sydney,Sydney,New South Wales,NSW
1101,Sydney,Sydney,New South Wales,NSW
1105,Sydney,Sydney,New South Wales,NSW
1106,Sydney,Sydney,New South Wales,NSW
1107,Sydney,Sydney,New South Wales,NSW
1108,Sydney,Sydney,New South Wales,NSW
1109,Sydney,Sydney,New South Wales,NSW
1110,Sydney,Sydney,New South Wales,NSW
1112,Sydney,Sydney,New South Wales,NSW
1113,Sydney,Sydney,New South Wales,NSW
1114,Sydney,Sydney,New South Wales,NSW
1115,Sydney,Sydney,New South Wales,NSW
1118,Sydney,Sydney,New South Wales,NSW
1119,Sydney,Sydney,New South Wales,NSW
1120,Sydney,Sydney,New South Wales,NSW
1121,Sydney,Sydney,New South Wales,NSW
1122,Sydney,Sydney,New South Wales,NSW
1123,Sydney,Sydney,New South Wales,NSW
1124,Sydney,Sydney,New South Wales,NSW
1125,Sydney,Sydney,New South Wales,NSW
1126,Sydney,Sydney,New South Wales,NSW
1127,Sydney,Sydney,New South Wales,NSW
1128,Sydney,Sydney,New South Wales,NSW
1129,Sydney,Sydney,New South Wales,NSW
1130,Sydney,Sydney,New South Wales,NSW
1131,Sydney,Sydney,New South Wales,NSW
1133,Sydney,Sydney,New South Wales,NSW
1134,Sydney,Sydney,New South Wales,NSW
1135,Sydney,Sydney,New South Wales,NSW
1136,Sydney,Sydney,New South Wales,NSW
1137,Sydney,Sydney,New South Wales,NSW
1138,Sydney,Sydney,New South Wales,NSW
1139,Sydney,Sydney,New South Wales,NSW
1140,Sydney,Sydney,New South Wales,NSW
1141,Sydney,Sydney,New South Wales,NSW
1142,Sydney,Sydney,New South Wales,NSW
1143,Sydney,Sydney,New South Wales,NSW
1144,Sydney,Sydney,New South Wales,NSW
1145,Sydney,Sydney,New South Wales,NSW
1146,Sydney,Sydney,New South Wales,NSW
1147,Sydney,Sydney,New South Wales,NSW
1148,Sydney,Sydney,New South Wales,NSW
1149,Sydney,Sydney,New South Wales,NSW
1150,Sydney,Sydney,New South Wales,NSW
1151,Sydney,Sydney,New South Wales,NSW
1152,Sydney,Sydney,New South Wales,NSW
1153,Sydney,Sydney,New South Wales,NSW
1154,Sydney,Sydney,New South Wales,NSW
1155,Sydney,Sydney,New South Wales,NSW
1156,Sydney,Sydney,New South Wales,NSW
1157,Sydney,Sydney,New South Wales,NSW
1158,Sydney,Sydney,New South Wales,NSW
1159,Sydney,Sydney,New South Wales,NSW
1160,Sydney,Sydney,New South Wales,NSW
1161,Sydney,Sydney,New South Wales,NSW
1162,Sydney,Sydney,New South Wales,NSW
1163,Sydney,Sydney,New South Wales,NSW
1164,Sydney,Sydney,New South Wales,NSW
1165,Sydney,Sydney,New South Wales,NSW
1166,Sydney,Sydney,New South Wales,NSW
1167,Sydney,Sydney,New South Wales,NSW
1168,Sydney,Sydney,New South Wales,NSW
1169,Sydney,Sydney,New South Wales,NSW
1170,Sydney,Sydney,New South Wales,NSW
1171,Sydney,Sydney,New South Wales,NSW
1172,Sydney,Sydney,New South Wales,NSW
1173,Sydney,Sydney,New South Wales,NSW
1174,Sydney,Sydney,New South Wales,NSW
1175,Sydney,Sydney,New South Wales,NSW
1176,Sydney,Sydney,New South Wales,NSW
1177,Sydney,Sydney,New South Wales,NSW
1178,Sydney,Sydney,New South Wales,NSW
1179,Sydney,Sydney,New South Wales,NSW
1180,Sydney,Sydney,New South Wales,NSW
1181,Sydney,Sydney,New South Wales,NSW
1182,Sydney,Sydney,New South Wales,NSW
1183,Sydney,Sydney,New South Wales,NSW
1184,Sydney,Sydney,New South Wales,NSW
1185,Sydney,Sydney,New South Wales,NSW
1186,Sydney,Sydney,New South Wales,NSW
1187,Sydney,Sydney,New South Wales,NSW
1188,Sydney,Sydney,New South Wales,NSW
1189,Sydney,Sydney,New South Wales,NSW
1190,Sydney,Sydney,New South Wales,NSW
1191,Sydney,Sydney,New South Wales,NSW
1193,Sydney,Sydney,New South Wales,NSW
1194,Sydney,Sydney,New South Wales,NSW
1195,Sydney,Sydney,New South Wales,NSW
1196,Sydney,Sydney,New South Wales,NSW
1197,Sydney,Sydney,New South Wales,NSW
1198,Sydney,Sydney,New South Wales,NSW
1199,Sydney,Sydney,New South Wales,NSW
1200,Sydney,Sydney,New South Wales,NSW
1201,Sydney,Sydney,New South Wales,NSW
1202,Sydney,Sydney,New South Wales,NSW
1203,Sydney,Sydney,New South Wales,NSW
1204,Sydney,Sydney,New South Wales,NSW
1205,Sydney,Sydney,New South Wales,NSW
1206,Sydney,Sydney,New South Wales,NSW
1207,Sydney,Sydney,New South Wales,NSW
1291,Sydney,Sydney,New South Wales,NSW
1292,Sydney,Sydney,New South Wales,NSW
1293,Sydney,Sydney,New South Wales,NSW
1294,Sydney,Sydney,New South Wales,NSW
1295,Sydney,Sydney,New South Wales,NSW
1296,Sydney,Sydney,New South Wales,NSW
1297,Sydney,Sydney,New South Wales,NSW
1298,Sydney,Sydney,New South Wales,NSW
1299,Sydney,Sydney,New South Wales,NSW
2001,Sydney,Sydney,New South Wales,NSW
1032,Sydney,Sydney,New South Wales,NSW
1116,Sydney,Sydney,New South Wales,NSW
1117,Sydney,Sydney,New South Wales,NSW
1132,Sydney,Sydney,New South Wales,NSW
1192,Sydney,Sydney,New South Wales,NSW
2000,Sydney,Sydney,New South Wales,NSW
1208,Haymarket,Sydney,New South Wales,NSW
1209,Australia Square,Sydney,New South Wales,NSW
1210,Australia Square,Sydney,New South Wales,NSW
1211,Australia Square,Sydney,New South Wales,NSW
1212,Australia Square,Sydney,New South Wales,NSW
